c_1_11_901	2	[-232.8348, -279.35104, -221.88649, -555.4066, -885.9948]
c_1_11_903	3	[-132.29866, -257.22327, -66.128, -61.2774, -94.26361]
c_1_11_906	3	[-135.62114, -260.65402, -71.052956, -66.480034, -104.3391]
c_1_11_908	1	[-465.3174, -413.95966, -670.6254, -1693.6464, -2573.227]
c_1_11_913	0	[-218.11229, -272.81503, -222.23117, -525.8956, -801.4875]
c_1_11_916	3	[-133.67801, -259.851, -69.50644, -67.17073, -104.73889]
c_1_11_917	2	[-142.20374, -266.82867, -77.6517, -85.037674, -134.45544]
c_1_11_918	2	[-153.97455, -265.03748, -104.856125, -192.69319, -307.2671]
c_1_11_920	0	[-228.20255, -295.16547, -274.62946, -666.1127, -1011.4555]
c_1_11_931	2	[-163.47408, -257.2498, -145.80594, -322.44272, -505.86835]
c_1_11_934	2	[-256.35587, -329.09396, -236.74428, -553.7302, -879.6014]
c_1_11_939	3	[-130.17831, -257.276, -64.99972, -57.37262, -85.89469]
c_1_11_940	2	[-193.83401, -263.289, -188.79123, -456.21387, -709.89703]
c_1_11_941	1	[-379.48267, -351.0765, -479.25464, -1182.0793, -1798.0332]
c_1_11_945	2	[-155.13293, -260.5982, -100.27168, -172.26901, -268.6512]
c_1_11_948	1	[-528.18475, -425.80112, -787.4854, -2005.5685, -3038.1677]
c_1_11_95	0	[-216.22816, -288.70935, -254.5581, -574.9928, -867.2643]
